timestamp,task_type,model,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds,success,error_message
2025-12-09T21:09:38.241188,explanation,gpt-4o-mini,374,195,569,0.000173,5.898,True,
2025-12-09T21:09:55.501128,translation,gpt-4o-mini,658,176,834,0.000204,3.370,True,
2025-12-09T21:09:59.558666,interpretation,gpt-4o-mini,689,136,825,0.000185,4.056,True,
2025-12-09T21:10:20.667481,explanation,gpt-4o-mini,373,224,597,0.000190,5.070,True,
2025-12-09T21:14:18.829253,translation,gpt-4o-mini,658,212,870,0.000226,4.342,True,
2025-12-09T21:14:22.822883,interpretation,gpt-4o-mini,725,153,878,0.000201,3.991,True,
2025-12-09T21:14:39.816433,explanation,gpt-4o-mini,401,231,632,0.000199,4.410,True,
2025-12-09T21:15:01.014217,translation,gpt-4o-mini,628,140,768,0.000178,2.832,True,
2025-12-09T21:15:04.168859,interpretation,gpt-4o-mini,623,137,760,0.000176,3.153,True,
2025-12-09T21:16:05.014432,explanation,gpt-4o-mini,345,211,556,0.000178,4.579,True,
2025-12-09T21:16:24.682912,translation,gpt-4o-mini,649,140,789,0.000181,3.141,True,
2025-12-09T21:16:28.972470,interpretation,gpt-4o-mini,644,138,782,0.000179,4.288,True,
2025-12-09T21:16:32.955637,translation,gpt-4o-mini,635,140,775,0.000179,2.587,True,
2025-12-09T21:16:35.990924,interpretation,gpt-4o-mini,630,138,768,0.000177,3.034,True,
2025-12-09T21:16:56.723423,translation,gpt-4o-mini,627,140,767,0.000178,2.640,True,
2025-12-09T21:16:59.897673,interpretation,gpt-4o-mini,622,140,762,0.000177,3.172,True,
2025-12-09T21:17:13.926425,explanation,gpt-4o-mini,345,227,572,0.000188,5.627,True,
2025-12-09T21:17:42.868769,explanation,gpt-4o-mini,345,219,564,0.000183,4.337,True,
2025-12-09T21:17:57.878462,translation,gpt-4o-mini,644,176,820,0.000202,3.563,True,
2025-12-09T21:18:01.356637,interpretation,gpt-4o-mini,675,151,826,0.000192,3.476,True,
2025-12-09T21:21:05.139803,explanation,gpt-4o-mini,373,223,596,0.000190,5.262,True,
2025-12-09T22:09:05.782049,translation,gpt-4o,629,140,769,0.002972,2.381,True,
2025-12-09T22:09:08.938120,interpretation,gpt-4o,623,125,748,0.002808,3.152,True,
2025-12-09T22:09:18.410621,explanation,gpt-4o,345,233,578,0.003193,4.492,True,
2025-12-09T22:09:34.660776,explanation,gpt-4o,345,245,590,0.003312,5.924,True,
2025-12-09T22:09:46.445516,explanation,gpt-4o,345,222,567,0.003083,4.311,True,
2025-12-09T22:10:36.196335,translation,gpt-4o,623,142,765,0.002978,1.146,True,
2025-12-09T22:10:40.104780,interpretation,gpt-4o,620,175,795,0.003300,3.907,True,
2025-12-09T22:22:10.760547,explanation,gpt-4o,346,230,576,0.003165,3.396,True,
2025-12-09T22:27:30.114944,translation,gpt-4o,644,176,820,0.003370,1.577,True,
2025-12-09T22:27:33.886417,interpretation,gpt-4o,675,174,849,0.003427,3.769,True,
2025-12-09T22:28:10.784294,explanation,gpt-4o,373,224,597,0.003172,3.895,True,
2025-12-09T22:29:23.813401,translation,gpt-4o,645,175,820,0.003363,3.333,True,
2025-12-09T22:29:26.785615,interpretation,gpt-4o,675,149,824,0.003178,2.970,True,
2025-12-09T22:29:47.540939,explanation,gpt-4o,372,226,598,0.003190,6.281,True,
2025-12-09T22:30:05.294203,translation,gpt-4o,665,177,842,0.003432,1.316,True,
2025-12-09T22:30:09.507874,interpretation,gpt-4o,697,180,877,0.003543,4.210,True,
2025-12-09T22:30:20.830529,explanation,gpt-4o,374,213,587,0.003065,4.397,True,
2025-12-09T22:30:46.855372,translation,gpt-4o,658,141,799,0.003055,1.182,True,
2025-12-09T22:30:49.828274,interpretation,gpt-4o,689,143,832,0.003152,2.971,True,
2025-12-09T22:37:15.785565,explanation,gpt-4o,373,211,584,0.003043,3.577,True,
2025-12-09T22:37:26.737171,translation,gpt-4o,658,212,870,0.003765,1.504,True,
2025-12-09T22:37:29.710218,interpretation,gpt-4o,725,169,894,0.003502,2.971,True,
2025-12-09T22:37:40.870909,explanation,gpt-4o,401,222,623,0.003223,4.632,True,
2025-12-09T22:38:42.621539,translation,gpt-4o,697,140,837,0.003142,1.477,True,
2025-12-09T22:38:46.001263,interpretation,gpt-4o,691,259,950,0.004318,3.378,True,
2025-12-09T22:39:04.391194,translation,gpt-4o,627,140,767,0.002967,0.890,True,
2025-12-09T22:39:07.910672,interpretation,gpt-4o,622,138,760,0.002935,3.517,True,
2025-12-09T22:39:32.780949,explanation,gpt-4o,345,251,596,0.003372,3.797,True,
2025-12-09T22:39:50.546764,translation,gpt-4o,626,140,766,0.002965,1.444,True,
2025-12-09T22:39:52.280607,interpretation,gpt-4o,621,137,758,0.002922,1.731,True,
2025-12-09T22:40:13.318438,explanation,gpt-4o,345,235,580,0.003213,4.315,True,
2025-12-09T22:41:39.011404,translation,gpt-4o,644,176,820,0.003370,1.084,True,
2025-12-09T22:41:41.673511,interpretation,gpt-4o,675,141,816,0.003098,2.660,True,
2025-12-09T22:42:03.797580,explanation,gpt-4o,373,229,602,0.003223,4.185,True,
2025-12-10T11:25:17.318739,translation,gpt-4o-mini,646,176,822,0.000202,5.570,True,
2025-12-10T11:25:20.709302,interpretation,gpt-4o-mini,675,131,806,0.000180,3.387,True,
2025-12-10T12:00:00.950891,translation,gpt-4o-mini,0,0,0,0.000000,2.006,False,Invalid date format in spec: Invalid isoformat string: 'YYYY-MM-DD'
2025-12-10T12:01:02.760251,translation,gpt-4o-mini,662,176,838,0.000205,4.175,True,
2025-12-10T12:01:07.420881,interpretation,gpt-4o-mini,691,170,861,0.000206,4.658,True,
2025-12-10T12:31:40.962019,translation,gpt-4o-mini,1003,210,1213,0.000276,4.712,True,
2025-12-10T12:31:45.417000,interpretation,gpt-4o-mini,725,180,905,0.000217,4.452,True,
2025-12-10T12:33:08.255142,explanation,gpt-4o-mini,400,237,637,0.000202,6.254,True,
2025-12-10T13:31:33.237924,translation,gpt-4o-mini,979,193,1172,0.000263,4.844,True,
2025-12-10T13:31:38.144847,interpretation,gpt-4o-mini,684,178,862,0.000209,4.906,True,
2025-12-10T13:33:22.699943,translation,gpt-4o-mini,979,193,1172,0.000263,4.723,True,
2025-12-10T13:33:27.919811,interpretation,gpt-4o-mini,684,203,887,0.000224,5.218,True,
2025-12-10T13:41:38.109027,translation,gpt-4o-mini,1057,193,1250,0.000274,5.678,True,
2025-12-10T13:41:41.895624,interpretation,gpt-4o-mini,685,158,843,0.000198,3.783,True,
2025-12-10T13:43:30.731670,translation,gpt-4o-mini,1042,156,1198,0.000250,3.590,True,
2025-12-10T13:43:33.789613,interpretation,gpt-4o-mini,633,124,757,0.000169,3.056,True,
2025-12-10T14:09:02.502623,translation,gpt-4o-mini,1064,184,1248,0.000270,4.544,True,
2025-12-10T14:09:05.142828,interpretation,gpt-4o-mini,683,145,828,0.000189,2.638,True,
2025-12-10T14:10:14.321908,translation,gpt-3.5-turbo,1064,184,1248,0.000808,2.748,True,
2025-12-10T14:10:16.881510,interpretation,gpt-3.5-turbo,688,141,829,0.000556,2.558,True,
2025-12-10T14:11:01.681494,translation,gpt-3.5-turbo,1042,157,1199,0.000757,1.956,True,
2025-12-10T14:11:03.504107,interpretation,gpt-3.5-turbo,639,143,782,0.000534,1.820,True,
2025-12-10T14:11:35.073113,translation,gpt-4o-mini,1042,156,1198,0.000250,4.107,True,
2025-12-10T14:11:38.928829,interpretation,gpt-4o-mini,633,147,780,0.000183,3.853,True,
2025-12-10T14:19:18.134585,translation,gpt-4o-mini,1049,165,1214,0.000256,4.803,True,
2025-12-10T14:19:21.808796,interpretation,gpt-4o-mini,649,154,803,0.000190,3.672,True,
2025-12-10T14:28:53.913460,translation,gpt-4o-mini,1143,165,1308,0.000270,5.107,True,
2025-12-10T14:28:57.874067,interpretation,gpt-4o-mini,641,143,784,0.000182,3.958,True,
2025-12-10T14:29:50.071907,translation,gpt-4o-mini,1136,156,1292,0.000264,4.781,True,
2025-12-10T14:29:52.956641,interpretation,gpt-4o-mini,625,138,763,0.000177,2.859,True,
